
Channel      Spectral axis      Intensity
2.00000E+00      1.426437744E+03    4.98673E-02
3.00000E+00      1.426375244E+03   -5.02335E-02
4.00000E+00      1.426312744E+03    7.55028E-02
5.00000E+00      1.426250244E+03   -2.15461E-02
6.00000E+00      1.426187744E+03    6.31428E-02
7.00000E+00      1.426125244E+03   -1.69683E-02
8.00000E+00      1.426062744E+03    1.46184E-02
9.00000E+00      1.426000244E+03   -1.86162E-03
1.00000E+01      1.425937744E+03   -1.46794E-02
1.10000E+01      1.425875366E+03   -2.31940E-03
1.20000E+01      1.425812744E+03    2.27058E-02
1.30000E+01      1.425750244E+03    3.02134E-03
1.40000E+01      1.425687744E+03    3.26243E-02
1.50000E+01      1.425625244E+03   -1.46794E-02
1.60000E+01      1.425562744E+03    1.53813E-02
1.70000E+01      1.425500244E+03    7.29393E-03
1.80000E+01      1.425437744E+03    2.56050E-02
1.90000E+01      1.425375244E+03    3.93690E-03
2.00000E+01      1.425312744E+03    6.68356E-03
2.10000E+01      1.425250244E+03   -4.91347E-03
2.20000E+01      1.425187744E+03   -1.36112E-02
2.30000E+01      1.425125244E+03   -1.89520E-02
2.40000E+01      1.425062744E+03    2.71616E-03
2.50000E+01      1.425000244E+03    2.37739E-02
2.60000E+01      1.424937744E+03    1.95013E-02
2.70000E+01      1.424875244E+03   -2.74972E-02
2.80000E+01      1.424812744E+03    2.63680E-02
2.90000E+01      1.424750244E+03    2.41097E-03
3.00000E+01      1.424687744E+03   -1.22379E-02
3.10000E+01      1.424625244E+03   -1.70903E-03
3.20000E+01      1.424562744E+03   -1.68157E-02
3.30000E+01      1.424500244E+03   -1.25431E-02
3.40000E+01      1.424437744E+03    2.24006E-02
3.50000E+01      1.424375244E+03   -3.20749E-02
3.60000E+01      1.424312744E+03    1.75176E-02
3.70000E+01      1.424250244E+03    1.64801E-03
3.80000E+01      1.424187744E+03    6.68356E-03
3.90000E+01      1.424125244E+03    1.32450E-02
4.00000E+01      1.424062744E+03    3.14036E-02
4.10000E+01      1.424000244E+03   -1.10172E-02
4.20000E+01      1.423937744E+03    8.66727E-03
4.30000E+01      1.423875244E+03   -6.40878E-04
